nombre app,url,descripción,numRatings,ratings4,ratings5,recentChanges,reviews
Colmédica,https://play.google.com/store/apps/details?id=com.proximate.colmedica,"Colmédica Medicina Prepagada Gracias a nuestra App Colmédica para teléfonos inteligentes y tabletas, usted tiene la posibilidad de acceder a aquella información de nuestros servicios que con mayor frecuencia y urgencia suele requerir, de manera concreta e inmediata. Funcionalidades de video para Autorizaciones médicas y Servicio de Orientación Médica - SOM por video llamada. A la hora que usted nos necesite, en la funcionalidad SOM por video llamada, un profesional de la salud estará atento y le brindará información sobre: •Manejo de la situación de salud en su casa u oficina. •Institución hospitalaria más cercana de acuerdo con su ubicación geográfica. •Envío de médico domiciliario o ambulancia en caso de requerirse. Además, usted cuenta con la posibilidad de ingresar desde su dispositivo móvil y/o tableta y acceder a las siguientes funcionalidades: •Directorio médico, a través de la cual puede consultar nuestra amplia red de profesionales médicos e instituciones tanto clínicas como diagnósticas y los Centros Médicos Colmédica. Esta funcionalidad le permite realizar de manera ágil, oportuna y detallada búsquedas por tipo de plan, ciudad, Centros Médicos Colmédica, especialidad y profesionales médicos adscritos a la red. •Oficina virtual, en esta sección puede encontrar información sobre certificaciones, última factura, oficinas así como de los Autoservicios Colmédica. •Favoritos, la cual permite que el usuario personalice su directorio médico haciendo un listado de los médicos y Centros Médicos Colmédica que frecuenta, ahorrándole tiempo a la hora de programar sus citas y la organización de sus fórmulas médicas, pues se tienen los datos de su preferencia, agrupados en un solo lugar. •Solicitar citas en los Centros Médicos Colmédica y Centros Odontológicos Colmédica de forma electrónica, además de poder realizar el pago de las UPD´s en línea. Además, tiene la posibilidad de consultar la ubicación y horario de las Ópticas Colmédica. •Acceso rápido a las líneas de atención telefónica de Asistencia Colmédica y el SOM (Servicio de Orientación Médica). •Autorizaciones Médicas, por medio de la cual puede solicitar sus autorizaciones médicas y además consultar el estado de las mismas. •Convenios, allí puede encontrar toda la información sobre beneficios y descuentos de nuestros aliados. •Revista Vivir Bien, donde puede consultar las últimas 9 ediciones y así disfrutar en cualquier momento la lectura de artículos desarrollados para su bienestar. •Profesionales de salud, donde puede encontrar las funcionalidades de consultar información, consultar pagos, asistencia colmédica, solicitar papelería, autorizaciones médicas, y simulador pila. Porque en Colmédica Medicina Prepagada continuamos innovando para su bienestar.",1339,4.1,274,748,[Mejoras menores para potencializar la experiencia móvil de nuestros usuarios.],"[Luego de la actualización, no me permite agendar citas. No sé carga el menú desplegable de especialidades, ya no se pueden programar las citas atravesar de la app, Al consultar las citas disponibles tarda demasiado; y una ves aparece la lista de citas, cuando se intenta filtrar por algún parámetro no funciona, la aplicación se bloquea, es necesario cerrarla para intentar nuevamente., Está última actualización no permite hacer filtros para búsquedas y se queda en espera, es muy cansón tener que mirar todo hasta ubicar el especialista preferido y el día deseado, las utimas actualizsciones no dejan hacer busqueda específica. No se puede hacer video llamada para autorizaciones. No se completa proceso de autorizaciones..se demora mucho para citas médicas o da error, No hay opción para devolver siempre se debe ir a home, No te permite hacer búsqueda de un médico en específico. Y para la autorización de exámenes se demora 2 días en verificar la solicitud y llamarte para aprobarla. Terrible, se supo que la tecnología nos permite Avanzar pero con la aplicación rerocedenos]"
DosisPedia,https://play.google.com/store/apps/details?id=com.smartgalapps.android.medicine.dosispedia.app,"DosisPedia - La App Móvil para médicos pediatras ¡Ahora también para patologías urgentes y emergencias sanitarias pediátricas! DosisPedia es una aplicación médica de dosificación pediátrica para la ayuda en consulta y urgencias. Está elaborada por el Equipo de Pediatría del Hospital da Costa de Lugo (Silveira Cancela M, López Franco M, Paz Villar Vilar A, Abadi Abadi A, Rodicio García M), financiada por el Ilustre Colegio Oficial de Médicos de Lugo, y diseñada y desarrollada por Smart GalApps. DosisPedia es el vademécum gratis en español de referencia médica y farmacológica para especialistas que atienden niños. Su calculadora de dosis de fármacos en función del peso facilita el día a día de los profesionales de la medicina (pediatras, MIR, médicos de familia, médicos de urgencias, médicos de guardia, traumatólogos, dentistas, sanitarios, MIR, otorrinos, oculistas, dermatólogos, alergólogos, ORL, estudiantes de medicina, etc.) ya que presenta un gran número de medicamentos disponibles en el mercado, con un contenido clínico preciso y actualizado para el diagnóstico y tratamiento de niños. ? Con DosisPedia tendrás todos los fármacos al alcance de tu mano DosisPedia es una guía farmacológica que permite al médico consultar rápidamente el fármaco y la dosis a suministrar a cada paciente en función de su patología y de su peso corporal mostrando indicaciones terapéuticas personalizadas dependiendo del peso de éste. Además, en muchas ocasiones se muestran alertas y comentarios de interés clínico. De la posología, esta farmacopea muestra la vía de administración, presentación, advertencias, precauciones, contraindicaciones, interacciones medicamentosas y posibles reacciones adversas. El funcionamiento es muy intuitivo: simplemente sigue las siguientes indicaciones tras el diagnóstico de la enfermedad para definir la prescripción: 1. Elige el grupo de fármacos del que deseas obtener información 2. Puedes seleccionar uno de los medicamentos y también puedes escribir el nombre del fármaco o del principio activo en el buscador 3. Mueve la barra y consulta las indicaciones para cada peso ? DosisPedia, la app de salud para médicos de todas las especialidades, está diseñada para ser intuitiva y efectiva App nativa para Android - La aplicación móvil está optimizada para Android MarshMallow y Lollipop, con un diseño cuidado al detalle. Accede rápidamente a la información del medicamento que deseas. App nativa para iPhone - DosisPedia también está optimizada para iPhone 6/6s, iPhone 6/6s Plus, iPhone 5s, iPhone 4s... No importa qué dispositivo tengas. Simplemente consulta las estrategias terapéuticas de la manera más ágil. ? El equipo detrás de DosisPedia Equipo de Pediatría del Hospital da Costa - El contenido científico de DosisPedia ha sido cuidadosamente seleccionado por el pediatra Manuel Silveira Cancela y el equipo de Pediatría del Hospital da Costa de Lugo, consultando fuentes científicas veraces y actuales. Smart GalApps - Gracias a la amplia experiencia en el diseño y desarrollo de aplicaciones nativas de Smart GalApps, DosisPedia presenta un diseño muy cuidado y adaptado a cada plataforma. Ilustre Colegio Oficial de Médicos de Lugo - DosisPedia, la App Móvil para médicos pediatras, está financiada por el Ilustre Colegio Oficial de Médicos de Lugo. NOTA: Los responsables del contenido científico han puesto la máxima atención a la hora de elaborar y comprobar los datos. No obstante, siempre es posible que exista algún error inadvertido. Las decisiones clínicas son de exclusiva responsabilidad del médico. Algunos de los fármacos incluidos añadidos: fentanilo, clindamicina, vancomicina, piracetam, midazolam nasal, etc. Se han desarrollado las dosis de midazolam según la vía de administración y la indicación concreta. Se ha añadido la pestaña de EMERGENCIAS con dosis calculadas según el peso del niño para procesos de urgencia vital.",1672,4.5,379,1131,"[v2.0.3, * Arreglos de bugs y otras mejoras, * Corrección de la presentación y nombre comercial de dexametasona colirio., * Se añaden ALERTAS de la Agencia Española de Medicamentos y Productos Sanitarios (AEMPS) para furantoína., * Se ha actualizado la dosis de paracetamol IV para niños menores de 10 kg de peso., * Adecuación del límite alto de la dosis de cefazolina para 40 kg de peso., v 2.0.2]","[Faltan medicamentos esenciales como cefalexina y bromhexina, sin mencionar otros, de lo demás está excelente ??, No soy pediatra pero me parece muy útil para consultas rápidas, Muy buena. Aún le falta mejorar pero para mi ya es de cinco estrellas, Como mencionan, faltan algunos medicamentos de uso común como cefalexina, brohemexina, loratadina entre otros... Pero aún así le doy cinco estrellas porque es muy fiable y fácil de usar. Muchas gracias!!!, Buenísima. Completa, fiable y fácil de usar, Me encanto es muy sencilla de utilizar]"
PsicoTests,https://play.google.com/store/apps/details?id=ar.com.fennoma.psicotest,"Esta APP contiene tests psicológicos sobre las diversas temáticas que llegan día a día al consultorio de todo profesional de la Psicología. Su contenido es serio, pero de simple comprensión. Podrás consultar y evaluar múltiples características sobre tu personalidad. También, si padeces de trastornos de ansiedad, trastornos del ánimo, trastornos alimentarios, problemas de adicciones, etc. Además hallarás valiosa información sobre temáticas asociadas al amor, a las problemáticas de pareja y a un sinfín de cuestiones complejas acerca de quién eres y cómo funciona tu psiquismo. Todos los tests de esta aplicación han sido desarrollados gracias al arduo trabajo en conjunto de un grupo de Profesionales de la Psicología. Por ello es que tienen un costo mínimo, accesible para todos. No obstante, podrán aquí encontrar, mensualmente, algunos tests gratuitos que se seleccionarán de forma aleatoria. Elige ya un test y comienza a conocer más sobre ti mismo.",487,3.0,52,161,"[-Errores corregidos., -Tests gratuitos agregados.]","[Son test buenos pero me parece que la idea de estos es relacionarte con un tema y que investigues por tu cuenta. No te da un resultado tan específico, solo acertado., Muy buena La app de psicologia que mas interesante me parece que existe hoy en dia. Los tests son muy buenos., Solo hay tres test gratuitos, es una estafa.. Que menos uno gratis de todas laas opciones, La verdad, no me gustó mucho que tuviera que pagar para hacer ciertos tests, por ejemplo no pude hacer ninguno de los de las imagenes solo los test gratuitos (que nada mas eran dos). No digo qur no puedan haber algunas cosas qur toque pagar, pero si que hayan algunos para poder hacer gratis., Me ha gustado mucho! Lo que no me gusta es que sólo hay 3 tests gratuitos, pero lo entiendo. La idea es muy buena :D, Sólo pude hacer dos test y me dijeron que sufro de ansiedad :v no tengo dinero para pagar los otros estoy pobre)?]"
Mayo Clinic,https://play.google.com/store/apps/details?id=com.mayoclinic.patient,"Mayo Clinic is the #1 hospital overall, as well as #1 in more specialties than any other hospital in the nation according to U.S. News & World Report. The Mayo Clinic app gives you valuable health insights, regardless of whether you’re a Mayo Clinic patient. You’ll get instant access to Mayo Clinic expertise, including daily health topics, fitness videos, recipes and wellness tips. The app also simplifies the process to request an appointment; you can click to call for immediate assistance or submit an online request form. When visiting Mayo Clinic, this app is your ideal onsite tool, giving you ready access to your itinerary, appointment reminders, campus maps and your personal medical record. Favorite features: - Daily health insights, fitness videos, recipes, and wellness tips - Streamlined ability to request an appointment. - View and manage details of your appointment itinerary - View test results in real time. - Secure communication with your care team. - View radiology images and exams. Learn more about the Mayo Clinic app: http://www.mayoclinic.org/apps La Clínica Mayo es el hospital # 1 en general, así como # 1 en más especialidades que cualquier otro hospital en la nación de acuerdo con EE.UU. News & World Report. La aplicación clínica de Mayo proporciona información muy valiosa para la salud, independientemente de si usted es un paciente de la Clínica Mayo. Usted tendrá acceso instantáneo a la experiencia de la Clínica Mayo, incluyendo temas de salud diarias, videos de fitness, recetas y consejos de bienestar. La aplicación también simplifica el proceso para solicitar una cita; puede hacer clic para llamar para la ayuda inmediata o enviar un formulario de solicitud en línea. Durante la visita a la clínica Mayo, esta aplicación es su herramienta en el sitio ideales, que le da acceso inmediato a su itinerario, recordatorios de citas, mapas del campus y su registro médico personal. características favoritas: - Health Insights diaria, videos de fitness, recetas y consejos de bienestar - Simplificación de la capacidad para solicitar una cita. - Ver y gestionar los detalles de su itinerario cita - Ver el resultado de la prueba en tiempo real. - La comunicación segura con su equipo de atención. - Ver imágenes de radiología y exámenes. Más información acerca de la aplicación de la Clínica Mayo: http://www.mayoclinic.org/apps",1337,4.3,205,883,"[Every update of our Mayo Clinic app includes improvements to usability, speed and reliability., - Squashed bugs, Share the love., - Performance improvements, This update includes:, Do you like the app?, Please rate it on the Google Play Store!]","[Ruben, Super, Espectacular, Me encanta, Ver good, Good]"
Presión arterial scanner 2017,https://play.google.com/store/apps/details?id=com.pressure.scanner.simulator.fingerPrint.blood.meter.pressure.controle.mesure.test,"Presión arterial del cuerpo Scanner 2017 es una aplicación divertida que simula un comprobador de presión arterial con escáner de dedo. Su presión arterial SYS, DIA, y su frecuencia cardiaca de pulso, incluso la presión de su cuerpo se medirá y se mostrará después de que el escáner de huellas digitales escanear su dedo. Presión arterial del cuerpo Scanner Prank con gráficos de UI realista y excelentes sonidos. El uso de medidor digital para mostrar falsas lecturas de presión arterial que sin duda inspirará a sus amigos y que podría pensar que está disfrutando del último dispositivo Android. Renuncia: Escáner 2017 es una aplicación simulada para fines de entretenimiento. De hecho, no puede medir la presión del cuerpo o la frecuencia cardíaca. Los resultados mostrados son números aleatorios. Es la mejor aplicación para engañar a tus amigos.",345,4.0,38,214,[],"[AQUEL QUE PIENSE, QUE UN MÓVIL LE PUEDE TOMAR LA PRESIÓN ARTERIAL, LE RECOMIENDO IR A 100 PSIQUIATRAS Y NO SE, SI TIENE CURA., Hay que meterlos presos a estos payasos tenía 180 100 y se me dio por probarlo y me marcó 115 75 si confías en este sorete A.C V. seguro, Confiable. Bueno., No cumple con su función sus datos son imprecisos, en cinco minutos estando yo en reposo, mostró tres lecturas distintas. No es confiable., Muy mala, No se si confiable]"
CIE10 (Español),https://play.google.com/store/apps/details?id=com.cie10,"La CIE10 es el acrónimo de la Clasificación internacional de enfermedades, décima versión correspondiente a la versión en español de la (en inglés) ICD, siglas de International Statistical Classification of Diseases and Related Health Problems) y determina la clasificación y codificación de las enfermedades y una amplia variedad de signos, síntomas, hallazgos anormales, denuncias, circunstancias sociales y causas externas de daños y/o enfermedad. Esta app contiene toda la clasificación en un solo lugar organizado por capítulos y adicionamos una búsqueda por descripción o código de enfermedad. CIE10 app es muy útil para todos los médicos ya que tendrán toda esta amplia clasificación en su dispositivo móvil. Versión Premium: Sin publicidad y mas ligera https://play.google.com/store/apps/details?id=com.cie10full_esp&hl=es_419",1347,4.4,366,785,"[* Se mejoro problemas de estabilidad y adiciono el botón de APOYO, https://play.google.com/store/apps/details?id=com.cie10full_esp&hl=es, * Búsqueda por VOZ, Versión 1.12, Versión 1.13, * Correcciones de interfaz y rendimiento, Versión PREMIUM: Sin publicidad y mas ligera, Versión 1.11, EMPEZAMOS A AGREGAR FUNCIONES!!!]","[Excelente aplicacion medica Facilita la busqueda y te sugiere varias opciones de diagnosticos , realmenge la recomiendo para los interezados en los registros medicos, Incompleto Le faltan algunos códigos aún así me parece una buena app. A todos los que comentan que porque solo códigos porque no buscan l para que es el CIE-10 en vez de andar comentando cosas sin sentido ?, No le entiendo Osea es pura guia? Literal para mostrar codigos? Quiero leer el N200, bueno ninguno abre con la info, solo me aparece como un indice, si tiene la info completa de cada uno? Sino para desinstalarla, Muy útil Muy buena aplicación para aquellos que aún requerimos el uso de los códigos sin tener acceso a otro sistema, ojalá se mejorara el uso de la letra ""ñ"" y además hay diagnósticos que por su longitud no se observan, por ejemplo del F191 - F199, Ayuda! Xfa No le entiendo ala app ,pnse que era q cada patologia al buscarla me describiria su cuadro clinico, esos codigos para que son??, I like it! n_n CIE X excelente app!! No están todos los miles de códigos U_U,pero rescatan la mayoría sobretodo los encabezados n_n]"
Anatomy Learning - 3D Atlas,https://play.google.com/store/apps/details?id=com.AnatomyLearning.Anatomy3DViewer3,"- Si tu dispositivo no es compatible con la versión de Android recuerda que tienes disponible una versión para PC y Mac en www.AnatomyLearning.com Por favor LEE el FAQ antes escribir un comentario solicitando mejoras. ... Comentarios, sugerencias y ayuda: webmaster@anatomylearning.com ··· Idiomas: ESPAÑOL e INGLES ··· ··· Esta aplicación requiere CONEXIÓN PERMANENTE a internet ··· La mejor manera de solicitar una mejora (traducciones, contenidos, modelos de órganos especificos...) es por email , para poder saber qué deseas exactamente, y así poder añadirlo. En nuestra experiencia, poner un comentario en GooglePlay no es buen sistema para solicitar una mejora debido a las limitaciones para responderte ( 150 caracteres) y a la imposibilidad de contactar de nuevo contigo. --------------- P: ¿Por qué es ONLINE?¿Por qué no puede ser offline? R: Piensa en la aplicación como en Youtube. Cada vez que cargas una escena, ésta debe ser descargada, despues se cachea para acelerar las siguientes veces, pero aun así seguirás necesitando conexión a internet (exactamente igual que ver un video de youtube). y no, no existe un modo de hacer que esta APP ( como youtube ) sea offline. La app puede descargar y cachear hasta 1Gb. --------------- P: ¿En qué idiomas esta traducida? R: ESPAÑOL (idioma original) e INGLÉS ( traducido ). Se han solicitado ya francés, portugués, ruso, italiano...estamos valorando la traducción de aquellos idiomas en los cuales los usuarios colaboren en su traducción, ya que nosotros no hablamos esos idiomas. Son más de 20mil términos medicos, además de las animaciones y descripciones. -------------- P: ¿Por qué hay libros ""en construcción""? R: El proyecto está aun CRECIENDO. Ya hemos modelado en 3D algunas áreas anatómicas, de las cuales aún no hemos creado una bibliografía adecuada para el aprendizaje. No obstante, como ""regalo"", os ofrecemos esos modelos 3D para aquellos que los necesiteis mientras esperáis a que construyamos el libro. ---------------- P: ¿Qué debo hacer si la app no se instala, o se instala pero no conecta al servidor? R: Sigue estos pasos: 1 .- Asegurate the cumplir las especificaciones : - Android 4 1Gb RAM 1Gb de espacio libre para instalar apps. 2 .- Conéctate a una RED WIFI o 4G de alta velocidad. Las conexiones G y 3G suelen ser insuficientes, lentas y tediosas. La carga de páginas con una buena conexión no tarda más 10 segundos. ( Piensa que vas a descargar 5 o 10 Mb por cada modelo 3D ). 3 .- Instala la APP, ábrela y accede a la Biblioteca. 4 .- Si después de seguir estos pasos, no puedes acceder, indícanos el error a través de nuestro email. Corregiremos el error y te notificaremos cuando esté listo para que accedas. Mientras tanto, accede a www.AnatomyLearning.com y utiliza las versiones para PC & MAC.",60262,4.5,9971,43975,"[- Actualización para preparar el SNC y el ojo., - Corregido el crash al conectar al servidor, - Actualizado a Unity 4.6.3]","[Dejen de quejarse, es gratis no califiquen bajo. Si quieren algo que sea excelente mejor paguen por el Escensial anatomy o VisualBody. A ver pues cuando lloren sus bolsillos sabrán como valorar esta buena app. Eso es lo malo de estos millenians posmodernos. Muy buena app felicitaciones al equipo técnico creador de esta increíble app., Detallada y sencilla pero . . . Al momento de colocar nuevas estructuras a una ya creada (poner músculos en los huesos) podrían hacer que desapareciera el icono que acabas de colocar para que así sea mas fácil el ver que estructuras ya se colocaron y cuales no, por que a veces es todo un lio. Pero por lo demás, es una app muy buena, Buena y muy práctica, pero tiene sus contras Una aplicación completa y sencilla para usar, con modelos 3D precisos y estructuras detalladas para el usuario. Algunas cosas que podría mejorar son el tema de la dependencia de la conexión wi-fi incluso con los paquetes ya descargados... También el manejo que requiere la aplicación para separar huesos, músculos, etc. Por eso son las 4 estrellas, Casi perfecta! Muy bien hecha la app, muy útil e interesante.. Quizás, para que fuera perfecta, añadiría la opción de descargar todos los planos 3D de una vez, para evitar perder tiempo cada vez que abra un plano nuevo.. Además, sería interesante que se pudiera ejecutar sin conexión wi-fi. Gracias, y felicidades por tan educativa app., Estupenda. Al principio un poco difícil de entender la estructura y funciones de los menús, pero una vez lo dominas al 50%, ya no es problema, se va intuyendo y resulta GENIAL realmente para complementar estudios de Anatomía. Para mi, lo del wifi hace que baje la nota un poco, pero entendiendo que, primero, hoy día cada vez hay más acceso de internet en todos sitios y segudo, que un trabajo tan minucioso de 3D lo quieran proteger de descarga permanente, por mi se mantiene más cerca de las 5 estrellas. Gracias. Quizá una cosa que yo retocaría es la función ""desplazamiento"", al mover desde los bordes, ya que se mueve un poco exagerada., Realmente muy buena, ningún problema y muchas herramientas, si tuviese mejor acentuado los accidentes óseos sería excelente, soy estudiante de medicina y ayuda mucho para entender o estudiar. Capaz estaría mejor que sea más fácil para colorear alguna partes para señalar porque eso no capto como. Muy recomendable app]"
Salud Total EPS-S,https://play.google.com/store/apps/details?id=com.saludtotal.saludtotaleps,"Salud Total Móvil es un Punto de Atención al Usuario virtual, donde los protegidos de Salud Total EPS-S pueden acceder de forma fácil y rápida a sus servicios desde cualquier lugar, siendo completamente transaccional. Aquí podrá solicitar citas médicas, odontológicas, de Salud Directa, consultar y descargar resultados de laboratorio, conocer el estado de afiliación, generar certificaciones de afiliación y notificaciones. Ahora Salud Total EPS-S está en tu bolsillo para: - Consultar en Directorios la información de la red médica, sitios de atención de urgencias (alta y baja complejidad), ubicación de farmacias y unidades de; atención básica, Odontológicas, Médicas Especializadas, Promoción y Prevención y Puntos de Atención al Usuario. - Solicitar, cancelar y consultar mis citas médicas y odontológicas. Además podrá acceder a 8 especialidades a través de Salud Directa (servicio disponible en algunas sucursales). - Consultar mis autorizaciones de servicios médicos. - Generar mis certificaciones y notificaciones. - Consultar y descargar los resultados de laboratorio (Disponible solo para pruebas diagnósticas tomadas en unidades propias). - Conocer el estado de afiliación.",2054,4.1,366,1203,"[Esta actualización de Salud Total Móvil es gracias a los comentarios y solicitudes de los protegidos de Salud Total EPS-S. Por eso hemos incluido nuevas opciones y mejoras como consulta y descarga de resultados de laboratorio, estado de afiliación, notificación de cancelación de citas e información general., * Por favor actualice la aplicación para poder asignar las citas medicas sin inconvenientes]","[Está muy bien. Pero también hay que mejorar Lo que más me gusta es que puedo ver los resultados de laboratorio y apartar las citas más fácilmente. Pero falta mejorar el diseño y sobretodo UNA NOTIFICACIÓN O MEJOR AÚN UNA ALARMA PROGRAMADA para avisar las citas que se aproximan ya que algunas son dentro de varias semanas y es fácil olvidarse., Deben mejorar mucho Me parece que la aplicación sirve para mirar cuando están las citas y para el certificado así uno.no debe estar llamando para eso , pero falta mejorar bastante ya que siempre tengo que llamar para demás citas , crecimiento , pediatría , planificación,. Y demás que no están hay, Es util Sólo para mirar la disponibilidad en fechas que uno no necesita , deberían ampliar la base datos tenerla actualizada para uno tener de donde escoger y con las citas de los especialistas nunca hay algo pasa .. se puede mejorar la app, Me parece que no sale toda la información Siento que siempre hay que llamar para pesir citas pone hay uno que la más pronta y no sale nada pone que en cualquier fecha y tampoco pone uno que paga por salud directa y aún nada solo te deja ver las fechas que tienes ya programas pero que las citas sacaste por teléfono entonces tener una aplicación que solo te genere espacio no es viable para nadie no me parece, Excelente aplicación pero seria bueno poder actualizar los datos personales por la app, ya que ayer me cancelaron una cita por que la dra tuvo inconveniente y me avisaron supuestamente por mensaje se texto y cuando fueron a revisar aparecia todavía un número de teléfono que deje de usar hace mas de dos años y yo actualicé mis datos a principio de este año cuando me hicieron una nueva afiliación directo en atención al cliente., Bien pero deben mejorar La atención para adultos mayores más prelacion para solicitar citas. Radicar órdenes y reclamar. Medicamentos no. Pos nos toca hacer largas filas y hasta abandonarlas. Por cansancio y perdiendo el tiempo.]"
Cholesterol detector prank,https://play.google.com/store/apps/details?id=com.nannygames.calestorol,"Fingerprint blood Cholesterol scanner Prank is a small gift to help users reading your own Cholesterol level. Do you want to track your Cholesterol, then this app is a great look for you. Instructions: Put your fingerprint gently over the finger marks examining machine section and hold out for 4-5 sec. Result: Your Cholesterol blood level will be shown after calculation and remember that is prank result. This is a prank Cholesterol Checker fingerprint app and not close to real scanner by any mean. Currently this is not possible with android phone in real to find out that Cholesterol result as people expect. Play with and fun with your friends whenever you get free time. Features of Cholesterol Detector Prank: - Share your own result to your friends on social media. - Create prank game and Fun or joke on your Friends, girlfriend and Family. - made in such a way that it gives Realistic looking. Disclaimer Cholesterol detector Scanner is a Prank application is only for joke and entertainment purposes and no way it will display real result. Huella digital colesterol sanguíneo escáner broma es un pequeño regalo para ayudar a los usuarios la lectura de su propio nivel de colesterol. ¿Quieres un seguimiento de su colesterol, entonces esta aplicación es un gran aspecto para usted. Instrucciones: Pon tu huella digital suavemente sobre las marcas de los dedos que examinan sección de la máquina y mantener por 4-5 seg. Resultado: Su nivel de colesterol en la sangre se mostrará después del cálculo y recuerda que es resultado de la broma. Esto es una broma Colesterol aplicación del inspector de huellas digitales y se cierra al escáner reales por cualquier medio. Actualmente esto no es posible con el teléfono Android en bienes para descubrir que resultado colesterol como la gente espera. Jugar y divertirse con sus amigos cada vez que obtiene el tiempo libre. Características de colesterol Detector de broma: - Comparta su propio resultado a tus amigos en las redes sociales. - Crear juego travesura y Diversión o broma de sus amigos, novia y familia. - Hecho de tal manera que da mirada realista. Renuncia Detector de colesterol Scanner es una aplicación de broma es sólo para fines de broma y de la hospitalidad y de ninguna manera se mostrará resultado real.",1974,3.9,405,961,"[1.1-> Ads policy fixed., 1.0.1-> bug fixed.]","[Es una real ESTUPIDEZ. Como confiar en las aplicaciones ahora, Mide lo que quiere. Te lo miras 4 veces seguidas y todas diferentes. Basura ni os molestéis., Es una porquería y si es un juego, peor todavía no pierdan su tiempo con semejante basura ni sirve para nada, No puedo creer que exista gente tan ingenua y tan poco intelectual como para no saber que significa ""prank"" en español . Prank en español es ""broma "" , está app funciona para hacer bromas . Incluso es preocupante que hay quienes piensan que los resultados son reales y van por la vida ingenuamente engañados y por esta razón podrían morir por que por ejemplo si les saco un resultado bajo en su colesterol (cuando en realidad podrían tenerlo alto) se pueden (ingenuamente ) confiar en ingerir alimentos altos en colesterol . Es una pena que incluso se indignen y voten negativamente está app por su carente conocimiento de la lengua universal . Vaya gente tan patética ., No la descarguen pura mentira, puse muchas veces el dedo y siempre salen distintos resultados., Este comentario es para que an votado mal la app os digo q vosotros están equivocados ya q la app en su explicación dice repetida veces q es broma aparte su nombre es cholesterol osea q no es para medir el colesterol de verdad es para llevar bromas con tus amistades]"
Diccionario médico (Free),https://play.google.com/store/apps/details?id=com.medicalgroupsoft.medical.directorymedtermsmultilang.free,"Este nuevo Diccionario de términos es una recopilación de 15.000 términos, aproximadamente, que abarca el núcleo esencial de información de todas las ciencias relacionadas con la salud, así como un amplio número de términos usados con suma frecuencia en el lenguaje peculiar de determinadas subespecialidades, y se ha proyectado especialmente para los estudiantes de Ciencias médicas. Es de esperar que resulte muy útil como libro de consulta para el público en general interesado en una explicación breve y certera de los términos médicos. El Diccionario de términos médicos recoge más de 10 000 entradas con definiciones anatómicas, patológicas, diagnósticas, etc. El Diccionario de términos médicos está dirigido a los profesionales biosanitarios, médicos, enfermeros, estudiantes de ciencias de la salud y especialistas de otros campos y ciencias afines, como psicólogos, farmacéuticos, biólogos o químicos.",12083,4.4,3039,7299,"[- descripciones añadidas;, - Errores arreglados., - Ahora en Android Wear!]","[Tiene temas buenos., Muy buena, Me sirve mucho para las definiciones q desconozco, pero ay q esforzarse 5 ‰ más , gracias., Muy bueno y practico, Apenas lo estoy usando pero me ha servido durante mis clases de etimologías medicas, Hola exelente informacion necesito informacion de la radioterapia tratamiento que se utiliza en el Caner del seno luego de ser operado. Sintomatologia. Lapsos ; contraindicaciones en los pacientes sensibles de piel blanca a los rayos del sol.gracias por la informacion le sere grata atte. Deisy Montiel]"
